0.000000000000000e+00 5.002411224250818e-01 1.398088530272725e-01 7.484472544245269e-01 3.272510552928127e-01 2.315633749852781e-01 -3.662519067741533e-01 6.697888850987264e-01 6.706663819367131e-02 3.602764945143200e-02 1.013669929732846e-01 -2.742762681581553e-01 2.883625236440046e-01 -7.633798598783509e-01 4.747420101392175e-02 -5.562114783921803e-01 1.028587417816980e-01 -2.147299501970923e-02 -4.291472284226516e-01 -8.949674294359444e-02 3.146340172643667e-01 4.969598948955536e-01 1.341072022914886e-01 7.507137060165405e-01 3.313077986240387e-01 2.377611696720123e-01 -3.907754719257355e-01 6.693053245544434e-01 3.261834383010864e-02 4.768199473619461e-02 1.371968090534210e-01 -2.951016128063202e-01 3.263328671455383e-01 -7.634646296501160e-01 7.570584863424301e-02 -5.719372034072876e-01 1.387428194284439e-01 1.042991876602173e-02 -3.909056484699249e-01 -6.147664412856102e-02 3.329387903213501e-01
1.000000000000000e-04 5.080098830595714e-01 1.002456720938831e-01 7.225384112484246e-01 3.824854690236263e-01 2.471388574875497e-01 -3.758202904526993e-01 6.674212686692398e-01 6.279995948010653e-03 7.823866585390915e-02 1.480575023282051e-01 -3.451897834947127e-01 1.669463949336547e-01 -7.675407847094914e-01 1.867174495696489e-02 -6.584256748082985e-01 -1.267639745368394e-01 -2.002750875538581e-01 -2.509160485381872e-01 -4.550764217112035e-02 2.197056786031302e-01 5.063952207565308e-01 1.050322651863098e-01 7.105098962783813e-01 3.868812322616577e-01 2.328065633773804e-01 -3.979668617248535e-01 6.793225407600403e-01 -1.928057521581650e-02 8.129926025867462e-02 1.540406346321106e-01 -3.626981377601624e-01 1.919486820697784e-01 -7.580111026763916e-01 3.683723509311676e-03 -6.603052020072937e-01 -1.326906979084015e-01 -2.080677747726440e-01 -2.482966482639313e-01 -4.514892026782036e-02 2.042935192584991e-01
2.000000000000000e-04 5.396517809512187e-01 2.549668181776088e-02 6.801571820809507e-01 4.252621820846294e-01 2.909852658166419e-01 -3.514866317619607e-01 6.592546320209303e-01 -1.914867846139179e-02 1.930477271845243e-01 1.461854887205383e-01 -4.214864598457627e-01 8.897810682618634e-02 -7.640581973464158e-01 4.569507425384534e-02 -7.752726310923783e-01 -1.387694252499494e-01 -2.748762052409061e-01 -1.804796461041436e-02 8.136919136573684e-02 4.581784915042775e-02 5.481261014938354e-01 2.601497620344162e-02 6.614285707473755e-01 4.325286448001862e-01 2.847719788551331e-01 -3.559932112693787e-01 6.645318269729614e-01 -3.050033748149872e-02 1.848466694355011e-01 1.575900614261627e-01 -4.266674518585205e-01 1.064217612147331e-01 -7.533078789710999e-01 3.818249702453613e-02 -7.640577554702759e-01 -1.443670094013214e-01 -2.963322699069977e-01 -2.609584107995033e-02 8.255888521671295e-02 1.423166692256927e-02
3.000000000000000e-04 5.813041526789866e-01 -6.111342951917165e-02 6.421009782133058e-01 4.441680025545827e-01 3.389439187796346e-01 -3.081247629423822e-01 6.445268031639102e-01 -1.550136120574364e-02 3.507338947975678e-01 1.063964250719978e-01 -4.713839831365011e-01 8.031146718026205e-02 -7.672459390663720e-01 1.231791238172446e-01 -7.830268826046564e-01 -8.752637682770459e-03 -2.008372739309321e-01 5.838365541112100e-02 2.298960338323055e-01 -1.752660350379580e-01 5.876229405403137e-01 -5.385506153106689e-02 6.348415613174438e-01 4.515882432460785e-01 3.475834727287292e-01 -3.021484315395355e-01 6.476156115531921e-01 -1.515031605958939e-02 3.407923281192780e-01 1.272366493940353e-01 -4.743331074714661e-01 8.462965488433838e-02 -7.673993110656738e-01 1.220713108778000e-01 -7.865248918533325e-01 -1.101676374673843e-02 -2.045015245676041e-01 5.405908077955246e-02 2.233325541019440e-01 -1.705751717090607e-01
4.000000000000000e-04 6.125418831378775e-01 -1.274874498567982e-01 6.318561683953965e-01 4.300015221209450e-01 3.771791460969198e-01 -2.587070911204288e-01 6.168783877227255e-01 -4.075359636631304e-03 4.796899454980865e-01 6.896179947783154e-02 -4.583454149207908e-01 1.772841551759874e-01 -8.113210417317857e-01 2.615062052278159e-01 -6.393151333970154e-01 1.655375748401229e-01 -4.783701676313368e-02 6.147406370134778e-03 3.518185106088396e-01 -2.973673110913645e-01 6.126295328140259e-01 -1.096969321370125e-01 6.378352046012878e-01 4.369976222515106e-01 3.842853307723999e-01 -2.578792870044708e-01 6.255708932876587e-01 2.258270978927612e-03 4.827204644680023e-01 8.117677271366119e-02 -4.544907510280609e-01 1.843193173408508e-01 -8.280736804008484e-01 2.679650187492371e-01 -6.549035906791687e-01 1.685036718845367e-01 -2.629836648702621e-02 4.032827913761139e-03 3.427509069442749e-01 -2.722765505313873e-01
5.000000000000000e-04 6.103102772877878e-01 -1.395598866351653e-01 6.694281864543148e-01 3.821482818004345e-01 3.910801757663176e-01 -2.220326528564571e-01 5.818760046338167e-01 -1.585110084950192e-02 5.035325346150150e-01 8.286370503690010e-02 -3.792445797872053e-01 3.290486356523756e-01 -8.896244679663492e-01 4.150134365877833e-01 -4.549265241571155e-01 3.436467098894329e-01 1.604297881683858e-01 -8.386952392159663e-02 3.453165850223563e-01 -2.399679892336394e-01 6.049307584762573e-01 -1.240227818489075e-01 6.760595440864563e-01 3.842083811759949e-01 3.902057409286499e-01 -2.269863784313202e-01 5.874011516571045e-01 -1.736255735158920e-02 5.043101906776428e-01 8.435253798961639e-02 -3.698781728744507e-01 3.363421559333801e-01 -8.936535716056824e-01 4.196560084819794e-01 -4.609577059745789e-01 3.479376733303070e-01 1.761611849069595e-01 -8.594992011785507e-02 3.314330279827118e-01 -2.287013679742813e-01
6.000000000000001e-04 5.644492546263977e-01 -8.493403359024321e-02 7.537193800490638e-01 3.192734103064963e-01 3.678515329529171e-01 -2.250039084356922e-01 5.583761420023874e-01 -7.633463006886176e-02 4.055364377627868e-01 1.683528330234976e-01 -2.772253626352846e-01 4.157390788514226e-01 -9.383610362223371e-01 4.814866185141156e-01 -3.501753349339192e-01 4.345266733177362e-01 3.733533914432041e-01 -2.029135761921308e-01 1.513498504753739e-01 -9.562346674172084e-02 5.545918941497803e-01 -8.457322418689728e-02 7.485975027084351e-01 3.228784203529358e-01 3.724375069141388e-01 -2.299356907606125e-01 5.507443547248840e-01 -8.390043675899506e-02 4.111246168613434e-01 1.650853455066681e-01 -2.804433703422546e-01 4.106424748897552e-01 -9.272820949554443e-01 4.879043996334076e-01 -3.370788693428040e-01 4.325560927391052e-01 3.742634952068329e-01 -2.063437998294830e-01 1.597385406494141e-01 -1.084221899509430e-01
7.000000000000000e-04 4.959716032811898e-01 5.714837491463953e-04 8.439126175042873e-01 2.842764552203529e-01 3.004438625511896e-01 -2.807556484047297e-01 5.652847320903667e-01 -1.805788023720842e-01 2.711421962305502e-01 2.875863310693429e-01 -2.268103681250843e-01 3.433632185178355e-01 -9.135173771460029e-01 4.270606492915363e-01 -3.406988704464118e-01 3.219259274058603e-01 4.586890077561356e-01 -3.062837520633716e-01 -1.279667265539651e-01 4.352021789135740e-04 4.905512928962708e-01 -5.843825638294220e-03 8.365311026573181e-01 2.948616743087769e-01 3.142812848091125e-01 -2.808561921119690e-01 5.546284914016724e-01 -1.869233697652817e-01 2.667681574821472e-01 2.913318872451782e-01 -2.343415170907974e-01 3.377211987972260e-01 -9.098522067070007e-01 4.441926479339600e-01 -3.376307785511017e-01 3.357283174991608e-01 4.684350788593292e-01 -2.982355058193207e-01 -1.052941530942917e-01 9.394101798534393e-03
8.000000000000000e-04 4.525932339428638e-01 4.011050151129569e-02 8.672942592037405e-01 3.295266413863758e-01 2.125492629878059e-01 -3.706195383746042e-01 5.970836781816247e-01 -2.896766506178147e-01 2.150693866594366e-01 3.596253172008215e-01 -2.558411612836179e-01 1.681859710557201e-01 -8.348649037735458e-01 3.358995228434483e-01 -3.752779948178646e-01 2.722582368444648e-02 3.231155696338177e-01 -2.469291599146478e-01 -3.033515249821256e-01 2.383865292422338e-02 4.528856873512268e-01 4.412151873111725e-02 8.721187710762024e-01 3.323164284229279e-01 2.329038679599762e-01 -3.654982149600983e-01 5.866316556930542e-01 -3.062723278999329e-01 1.841074824333191e-01 3.857539892196655e-01 -2.675791382789612e-01 1.693372428417206e-01 -8.461254835128784e-01 3.395772576332092e-01 -3.897411227226257e-01 4.175666719675064e-02 3.458971679210663e-01 -2.476552128791809e-01 -2.994540333747864e-01 3.975123912096024e-02
9.000000000000001e-04 4.590123809859128e-01 -4.438070173147901e-03 8.055319477352068e-01 4.404220080396752e-01 1.915344303341262e-01 -4.384909622047534e-01 6.051134171064607e-01 -3.825979584136003e-01 2.177091375136428e-01 4.017220633541152e-01 -3.207458652560702e-01 2.597337083825035e-02 -7.585619530871041e-01 3.239450116843789e-01 -4.401413926645881e-01 -2.058216934301259e-01 1.118118940964872e-01 2.082902569742906e-02 -2.686462852339550e-01 -5.379852045363664e-02 4.594149589538574e-01 4.854537546634674e-03 8.237869739532471e-01 4.381524324417114e-01 2.064990997314453e-01 -4.304940998554230e-01 6.029661893844604e-01 -3.822221159934998e-01 2.042374610900879e-01 4.189026951789856e-01 -3.459368646144867e-01 2.022370323538780e-02 -7.649351358413696e-01 3.050590157508850e-01 -4.504055380821228e-01 -1.974877715110779e-01 1.327598392963409e-01 2.363905310630798e-03 -2.873043715953827e-01 -4.954268783330917e-02
